 imageID	lakeID	lakeDOC	replicateNo
BA FN5 002 07-26.jpg	BA	7.4	3
BA FN5 003 07-26.jpg	BA	7.4	3
BA FN5 004 07-26.jpg	BA	7.4	3
BA FN5 005 07-26.jpg	BA	7.4	3
BA FN5 006 07-26.jpg	BA	7.4	3
BA FN5 007 07-26.jpg	BA	7.4	3
BA FN5 008 07-26.jpg	BA	7.4	3
BA FN8 001 07-16.jpg	BA	7.4	3
BA FN8 002 07-16.jpg	BA	7.4	3
BA FN8 003 07-16.jpg	BA	7.4	3
BA FN8 004 07-16.jpg	BA	7.4	3
FD Electro 001.jpg	FD	6.21	3
FD Electro 002.jpg	FD	6.21	3
FD Electro 003.jpg	FD	6.21	3
FD Electro 004.jpg	FD	6.21	3
FD Electro 005.jpg	FD	6.21	3
FD Electro 006.jpg	FD	6.21	3
FD Electro 007.jpg	FD	6.21	3
FD Electro 008.jpg	FD	6.21	3
FD Electro 009.jpg	FD	6.21	3
FD Electro 010.jpg	FD	6.21	3
FD Electro 011.jpg	FD	6.21	3
FD Electro 012.jpg	FD	6.21	3
FD Electro 013.jpg	FD	6.21	3
FD Electro 014.jpg	FD	6.21	3
FD Electro 015.jpg	FD	6.21	3
FD Electro 016.jpg	FD	6.21	3
FD Electro 017.jpg	FD	6.21	3
FD Electro 018.jpg	FD	6.21	3
FD Electro 019.jpg	FD	6.21	3
FD Electro 020.jpg	FD	6.21	3
FD Electro 021.jpg	FD	6.21	3
FD Electro 022.jpg	FD	6.21	3
FD Electro 023.jpg	FD	6.21	3
FD Electro 024.jpg	FD	6.21	3
FD Electro 025.jpg	FD	6.21	3
FD Electro 026.jpg	FD	6.21	3
FD Electro 027.jpg	FD	6.21	3
FD Electro 028.jpg	FD	6.21	3
FD Electro 029.jpg	FD	6.21	3
FD Electro 030.jpg	FD	6.21	3
BA AN 001 07-13.jpg	BA	7.4	4
BA AN 002 07-13.jpg	BA	7.4	4
BA AN 003 07-13.jpg	BA	7.4	4
BA AN 004 07-13.jpg	BA	7.4	4
BA AN 005 07-13.jpg	BA	7.4	4
BA AN 006 07-13.jpg	BA	7.4	4
BA AN 007 07-13.jpg	BA	7.4	4
BA AN 008 07-13.jpg	BA	7.4	4
BA AN 009 07-13.jpg	BA	7.4	4
BA AN 010 07-13.jpg	BA	7.4	4
BA AN 011 07-13.jpg	BA	7.4	4
BA AN 012 07-13.jpg	BA	7.4	4
BA AN 013 07-13.jpg	BA	7.4	4
BA AN 014 07-13.jpg	BA	7.4	4
BA AN 015 07-13.jpg	BA	7.4	4
BA FN4 001.jpg	BA	7.4	4
BA FN4 002.jpg	BA	7.4	4
BA FN4 003.jpg	BA	7.4	4
BA FN5 001 07-26.jpg	BA	7.4	4
BA FN5 002 07-26.jpg	BA	7.4	4
BA FN5 003 07-26.jpg	BA	7.4	4
BA FN5 004 07-26.jpg	BA	7.4	4
BA FN5 005 07-26.jpg	BA	7.4	4
BA FN5 006 07-26.jpg	BA	7.4	4
BA FN5 007 07-26.jpg	BA	7.4	4
BA FN5 008 07-26.jpg	BA	7.4	4
BA FN8 001 07-16.jpg	BA	7.4	4
BA FN8 002 07-16.jpg	BA	7.4	4
BA FN8 003 07-16.jpg	BA	7.4	4
BA FN8 004 07-16.jpg	BA	7.4	4
FD Electro 001.jpg	FD	6.21	4
FD Electro 002.jpg	FD	6.21	4
FD Electro 003.jpg	FD	6.21	4
FD Electro 004.jpg	FD	6.21	4
FD Electro 005.jpg	FD	6.21	4
FD Electro 006.jpg	FD	6.21	4
FD Electro 007.jpg	FD	6.21	4
FD Electro 008.jpg	FD	6.21	4
FD Electro 009.jpg	FD	6.21	4
FD Electro 010.jpg	FD	6.21	4
FD Electro 011.jpg	FD	6.21	4
FD Electro 012.jpg	FD	6.21	4
FD Electro 013.jpg	FD	6.21	4
FD Electro 014.jpg	FD	6.21	4
FD Electro 015.jpg	FD	6.21	4
FD Electro 016.jpg	FD	6.21	4
FD Electro 017.jpg	FD	6.21	4
FD Electro 018.jpg	FD	6.21	4
FD Electro 019.jpg	FD	6.21	4
FD Electro 020.jpg	FD	6.21	4
FD Electro 021.jpg	FD	6.21	4
FD Electro 022.jpg	FD	6.21	4
FD Electro 023.jpg	FD	6.21	4
FD Electro 024.jpg	FD	6.21	4
FD Electro 025.jpg	FD	6.21	4
FD Electro 026.jpg	FD	6.21	4
FD Electro 027.jpg	FD	6.21	4
FD Electro 028.jpg	FD	6.21	4
FD Electro 029.jpg	FD	6.21	4
FD Electro 030.jpg	FD	6.21	4
